segment_idx,pig_id,label,label_name,Source,Start,End,Energy,Audio_Path
0,114-1838.wav,1,Normal,New,0.0,10.0,-21.50628089904785,/home/willy/pig/audio/診中＿標注後/正常/114-1838.wav
1,114-1838.wav,1,Normal,New,5.0,15.0,-27.353321075439453,/home/willy/pig/audio/診中＿標注後/正常/114-1838.wav
2,114-1838.wav,1,Normal,New,10.0,20.0,-33.61616516113281,/home/willy/pig/audio/診中＿標注後/正常/114-1838.wav
3,114-1838.wav,1,Normal,New,15.0,25.0,-39.58747100830078,/home/willy/pig/audio/診中＿標注後/正常/114-1838.wav
4,114-1838.wav,1,Normal,New,30.0,40.0,-37.273460388183594,/home/willy/pig/audio/診中＿標注後/正常/114-1838.wav
5,114-1838.wav,1,Normal,New,35.0,45.0,-24.310176849365234,/home/willy/pig/audio/診中＿標注後/正常/114-1838.wav
6,114-1838.wav,1,Normal,New,40.0,50.0,-24.46630096435547,/home/willy/pig/audio/診中＿標注後/正常/114-1838.wav
7,114-1838.wav,1,Normal,New,70.0,80.0,-39.563018798828125,/home/willy/pig/audio/診中＿標注後/正常/114-1838.wav
8,114-1838.wav,1,Normal,New,75.0,85.0,-17.89971923828125,/home/willy/pig/audio/診中＿標注後/正常/114-1838.wav
9,114-1838.wav,1,Normal,New,80.0,90.0,-16.300569534301758,/home/willy/pig/audio/診中＿標注後/正常/114-1838.wav
10,114-1838.wav,1,Normal,New,85.0,95.0,-19.653823852539062,/home/willy/pig/audio/診中＿標注後/正常/114-1838.wav
11,114-1838.wav,1,Normal,New,90.0,100.0,-24.350692749023438,/home/willy/pig/audio/診中＿標注後/正常/114-1838.wav
12,114-1838.wav,1,Normal,New,95.0,105.0,-37.09312057495117,/home/willy/pig/audio/診中＿標注後/正常/114-1838.wav
13,114-1838.wav,1,Normal,New,100.0,110.0,-25.607250213623047,/home/willy/pig/audio/診中＿標注後/正常/114-1838.wav
14,114-1838.wav,1,Normal,New,105.0,115.0,-22.31246566772461,/home/willy/pig/audio/診中＿標注後/正常/114-1838.wav
