fold_idx,test_pig,inner_f1,n_mult,a_mult,t_n,t_a
0,114-1314,0.8786663052317701,3,5,0.8,0.25
1,114-1688.wav,0.8753627715887022,4,3,0.7,0.25
2,114-1698.wav,0.8746367262745967,3,5,0.6,0.25
3,114-1820.wav,0.8687832809062687,4,3,0.6,0.2
4,114-1838.wav,0.8556240644411512,2,7,0.8,0.25
5,114-1840.wav,0.8772109858821966,4,7,0.6,0.35
6,114-1955.wav,0.886133738965138,4,7,0.8,0.3
7,114-380,0.8928007393330395,3,5,0.7,0.35
8,114-424,0.8829472030462582,3,3,0.8,0.2
9,114-787,0.9061861631444578,3,3,0.7,0.35
10,114-949,0.8742273579302672,2,3,0.7,0.2
11,20241207_11O,0.8407174484889491,2,7,0.6,0.3
12,20250109_338,0.8800671960195364,4,3,0.7,0.2
13,20250109_448,0.8854657598507828,4,3,0.7,0.2
14,20250114_66,0.877645585776821,3,5,0.7,0.35
15,20250114_81,0.8847031088356075,4,5,0.8,0.25
